time;logger;level;message;exception
2012-03-14 09:43:21.8120;Raven.Database.Server.HttpServer;Debug;Request #  19: GET     -    66 ms - <default>  - 200 - /stats?noCache=256311107;
2012-03-14 09:43:26.9930;Raven.Database.Server.HttpServer;Debug;Request #  20: GET     -    31 ms - <default>  - 200 - /stats?noCache=-1507226066;
2012-03-14 09:43:42.5870;Raven.Database.Server.HttpServer;Debug;Request #  21: GET     -    29 ms - <default>  - 200 - /stats?noCache=1875085954;
2012-03-14 09:44:03.2290;Raven.Database.Server.HttpServer;Debug;Request #  22: GET     -    32 ms - <default>  - 200 - /stats?noCache=608257374;
2012-03-14 09:44:35.0260;Raven.Database.Server.HttpServer;Debug;Request #  23: GET     -    42 ms - <default>  - 200 - /stats?noCache=-907160607;
2012-03-14 09:44:41.0940;Raven.Database.Server.HttpServer;Debug;Request #  24: GET     -    57 ms - <default>  - 200 - /stats?noCache=258967858;
2012-03-14 09:44:47.2270;Raven.Database.Server.HttpServer;Debug;Request #  25: GET     -   119 ms - <default>  - 200 - /stats?noCache=-579441710;
2012-03-14 09:44:48.2250;Raven.Database.Server.HttpServer;Debug;Request #  26: GET     -    26 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=989627749;
2012-03-14 09:44:52.4810;Raven.Database.Server.HttpServer;Debug;Request #  27: GET     -    55 ms - <default>  - 200 - /stats?noCache=-301783579;
2012-03-14 09:44:53.4560;Raven.Database.Server.HttpServer;Debug;Request #  28: GET     -    50 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=1588649996;
2012-03-14 09:44:53.4560;Raven.Database.Server.HttpServer;Debug;Request #  29: GET     -    50 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-1382514077;
2012-03-14 09:44:53.7140;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-14 09:44:53.7140;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Hilo/items' was not found;
2012-03-14 09:44:53.7160;Raven.Database.Server.HttpServer;Debug;Request #  30: GET     -    45 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-14 09:44:53.7160;Raven.Database.Server.HttpServer;Debug;Request #  31: GET     -    46 ms - <default>  - 404 - /docs/Raven/Hilo/items;
2012-03-14 09:44:54.6030;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'Raven/Hilo/items', update: False, ;
2012-03-14 09:44:54.6080;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 because: PUT Raven/Hilo/items;
2012-03-14 09:44:54.6080;Raven.Database.DocumentDatabase;Debug;Put document Raven/Hilo/items with etag 00000000-0000-0100-0000-000000000001;
2012-03-14 09:44:54.6080;Raven.Database.Server.HttpServer;Debug;Request #  32: PUT     -   250 ms - <default>  - 201 - /docs/Raven/Hilo/items;
2012-03-14 09:44:54.6730;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:44:54.7650;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'items/1', update: False, ;
2012-03-14 09:44:54.7650;Raven.Database.DocumentDatabase;Debug;Put document items/1 with etag 00000000-0000-0100-0000-000000000002;
2012-03-14 09:44:54.7650;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 because: PUT items/1;
2012-03-14 09:44:54.7650;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0132102;
2012-03-14 09:44:54.7790;Raven.Database.Server.HttpServer;Debug;Request #  33: POST    -    88 ms - <default>  - 200 - /bulk_docs;
2012-03-14 09:44:54.7790;Raven.Database.Server.HttpServer;Debug;"	PUT items/1
";
2012-03-14 09:44:54.8410;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000;
2012-03-14 09:44:54.8570;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:44:55.6540;Raven.Database.Impl.DocumentRetriever;Debug;Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/items;
2012-03-14 09:44:55.6750;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 0 documents remained;
2012-03-14 09:44:55.7220;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for Raven/DocumentsByEntityName, no indexing will be performed, updating to 00000000-0000-0100-0000-000000000001, 14.03.2012 08:44:54;
2012-03-14 09:44:55.7790;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 because: WORK BY IndexingExecuter;
2012-03-14 09:44:55.8070;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:44:55.8220;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0100-0000-000000000001;
2012-03-14 09:44:55.8220;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 1 documents remained;
2012-03-14 09:44:55.8220;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0100-0000-000000000001;
2012-03-14 09:44:55.8220;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: Raven/DocumentsByEntityName. (items/1);
2012-03-14 09:44:56.5490;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on items/1 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: items/1
	Tag I-: Items
	LastModified I-: 20120314084454764
";
2012-03-14 09:44:56.9730;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Raven/DocumentsByEntityName;
2012-03-14 09:44:56.9760;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 5 because: WORK BY IndexingExecuter;
2012-03-14 09:44:56.9760;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:44:57.0030;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 5, for: IndexingExecuter, will wait for additional work;
2012-03-14 09:45:01.5650;Raven.Database.Server.HttpServer;Debug;Request #  34: GET     -    59 ms - <default>  - 200 - /docs/?start=0&pageSize=20&noCache=-1710738089;
2012-03-14 09:45:04.5650;Raven.Database.Server.HttpServer;Debug;Request #  35: GET     -    67 ms - <default>  - 200 - /stats?noCache=-1948365064;
2012-03-14 09:45:06.6510;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'items/2', update: False, ;
2012-03-14 09:45:06.6510;Raven.Database.DocumentDatabase;Debug;Put document items/2 with etag 00000000-0000-0100-0000-000000000003;
2012-03-14 09:45:06.6510;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 6 because: PUT items/2;
2012-03-14 09:45:06.6510;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0980837;
2012-03-14 09:45:06.6510;Raven.Database.Server.HttpServer;Debug;Request #  36: POST    -    99 ms - <default>  - 200 - /bulk_docs;
2012-03-14 09:45:06.6510;Raven.Database.Server.HttpServer;Debug;"	PUT items/2
";
2012-03-14 09:45:06.7060;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0100-0000-000000000002;
2012-03-14 09:45:06.7060;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 1 documents remained;
2012-03-14 09:45:06.7060;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0100-0000-000000000002;
2012-03-14 09:45:06.7060;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: Raven/DocumentsByEntityName. (items/2);
2012-03-14 09:45:06.7060;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on items/2 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: items/2
	Tag I-: Items
	LastModified I-: 20120314084506610
";
2012-03-14 09:45:06.7270;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Raven/DocumentsByEntityName;
2012-03-14 09:45:06.7570;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 7 because: WORK BY IndexingExecuter;
2012-03-14 09:45:06.7570;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work;
2012-03-14 09:45:06.7570;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 7, for: IndexingExecuter, will wait for additional work;
2012-03-14 09:45:15.5020;Raven.Database.Server.HttpServer;Debug;Request #  37: GET     -    33 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=/&noCache=-1674183662;
2012-03-14 09:45:15.5320;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'items/1' was found;
2012-03-14 09:45:15.5460;Raven.Database.Server.HttpServer;Debug;Request #  38: GET     -    12 ms - <default>  - 200 - /docs/items/1?noCache=-489971096;
2012-03-14 09:45:15.7270;Raven.Database.Server.HttpServer;Debug;Request #  39: GET     -     0 ms - <default>  - 200 - /docs/?start=0&pageSize=15&startsWith=items/1/&noCache=1584034403;
2012-03-14 09:45:16.5570;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'items/1' was found;
2012-03-14 09:45:22.0030;Raven.Database.Server.HttpServer;Debug;Request #  40: GET     -   455 ms - <default>  - 200 - /stats?noCache=-1124413413;
2012-03-14 09:45:22.5890;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'items/1' was found;
2012-03-14 09:45:27.6600;Raven.Database.Server.HttpServer;Debug;Request #  41: GET     -    51 ms - <default>  - 200 - /stats?noCache=-1722805398;
2012-03-14 09:45:33.8670;Raven.Database.Server.HttpServer;Debug;Request #  42: GET     -    64 ms - <default>  - 200 - /stats?noCache=244077691;
2012-03-14 09:46:02.1940;Raven.Database.Server.HttpServer;Debug;Request #  43: GET     -    29 ms - <default>  - 200 - /stats?noCache=709383430;
2012-03-14 09:46:14.4190;Raven.Database.Server.HttpServer;Debug;Request #  44: GET     -    66 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=607019496;
2012-03-14 09:46:14.4300;Raven.Database.Server.HttpServer;Debug;Request #  45: GET     -    83 ms - <default>  - 200 - /stats?noCache=1400709765;
